goos: darwin
goarch: arm64
pkg: trigram_index/v2
cpu: Apple M3 Pro
BenchmarkTextSearch/query_"resul"-12         	 3210420	       375.9 ns/op	     768 B/op	       1 allocs/op
BenchmarkTextSearch/query_"resul"-12         	 3821050	       336.4 ns/op	     768 B/op	       1 allocs/op
BenchmarkTextSearch/query_"resul"-12         	 4041255	       306.2 ns/op	     768 B/op	       1 allocs/op
BenchmarkTextSearch/query_"resul"-12         	 3983929	       298.4 ns/op	     768 B/op	       1 allocs/op
BenchmarkTextSearch/query_"resul"-12         	 4049308	       297.0 ns/op	     768 B/op	       1 allocs/op
BenchmarkTextSearch/query_"resul"-12         	 3984093	       296.9 ns/op	     768 B/op	       1 allocs/op
BenchmarkTextSearch/query_"resul"-12         	 4051998	       294.8 ns/op	     768 B/op	       1 allocs/op
BenchmarkTextSearch/query_"resul"-12         	 3999750	       297.5 ns/op	     768 B/op	       1 allocs/op
BenchmarkTextSearch/query_"resul"-12         	 4049042	       296.8 ns/op	     768 B/op	       1 allocs/op
BenchmarkTextSearch/query_"resul"-12         	 3975646	       298.3 ns/op	     768 B/op	       1 allocs/op
BenchmarkTextSearch/query_"error"-12         	38584020	        30.75 ns/op	      16 B/op	       1 allocs/op
BenchmarkTextSearch/query_"error"-12         	38914921	        30.90 ns/op	      16 B/op	       1 allocs/op
BenchmarkTextSearch/query_"error"-12         	37842453	        30.78 ns/op	      16 B/op	       1 allocs/op
BenchmarkTextSearch/query_"error"-12         	38002192	        30.87 ns/op	      16 B/op	       1 allocs/op
BenchmarkTextSearch/query_"error"-12         	38560720	        30.66 ns/op	      16 B/op	       1 allocs/op
BenchmarkTextSearch/query_"error"-12         	38972533	        30.75 ns/op	      16 B/op	       1 allocs/op
BenchmarkTextSearch/query_"error"-12         	38942230	        30.71 ns/op	      16 B/op	       1 allocs/op
BenchmarkTextSearch/query_"error"-12         	38272272	        30.77 ns/op	      16 B/op	       1 allocs/op
BenchmarkTextSearch/query_"error"-12         	38350705	        30.71 ns/op	      16 B/op	       1 allocs/op
BenchmarkTextSearch/query_"error"-12         	38710041	        30.81 ns/op	      16 B/op	       1 allocs/op
BenchmarkTextSearch/query_"err"-12           	38905616	        30.53 ns/op	      16 B/op	       1 allocs/op
BenchmarkTextSearch/query_"err"-12           	38626660	        30.87 ns/op	      16 B/op	       1 allocs/op
